,period,short_desc,temp,desc
0,Today,Mostly Sunnyand Breezy,High: 57 °F,"Today: Mostly sunny, with a high near 57. Breezy, with a west wind 15 to 20 mph. "
1,Tonight,Windy. ChanceShowers thenChanceRain/Snow,Low: 34 °F,"Tonight: A chance of rain showers after 11pm, mixing with snow after 4am.  Partly cloudy, with a low around 34. Windy, with a west wind 14 to 19 mph increasing to 27 to 32 mph after midnight.  Chance of precipitation is 30%. Little or no snow accumulation expected. "
2,Monday,PatchyBlowing Dustand VeryWindy,High: 43 °F,"Monday: Patchy blowing dust before 3pm. Sunny, with a high near 43. Very windy, with a west wind 36 to 46 mph decreasing to 20 to 30 mph. Winds could gust as high as 70 mph. "
3,Monday Night,Partly Cloudy,Low: 18 °F,"Monday Night: Partly cloudy, with a low around 18. West wind 6 to 11 mph becoming light  after midnight. Winds could gust as high as 18 mph. "
4,Tuesday,Mostly Sunny,High: 36 °F,"Tuesday: Mostly sunny, with a high near 36. Calm wind becoming west around 6 mph in the afternoon. "
5,Tuesday Night,Mostly Clear,Low: 16 °F,"Tuesday Night: Mostly clear, with a low around 16."
6,New Year's Day,Mostly Sunny,High: 40 °F,"New Year's Day: Mostly sunny, with a high near 40."
7,Wednesday Night,Mostly Cloudy,Low: 25 °F,"Wednesday Night: Mostly cloudy, with a low around 25."
8,Thursday,Slight ChanceSnow Showersthen MostlySunny,High: 45 °F,"Thursday: A slight chance of snow showers before 11am.  Mostly sunny, with a high near 45."
